eco,name,pgn,family,variation,position_fen,color_hex,family_hue,duplicate_group_size,duplicate_group_rank,umap_x,umap_y
A00,Amar Opening,1. Nh3,Amar Opening,Root,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1,#ee8a86,2.4324324324324325,1,1,-2.5560591220855713,9.05124568939209
A00,Amar Opening: Paris Gambit,1. Nh3 d5 2. g3 e5 3. f4,Amar Opening,Paris Gambit,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq - 0 3,#a21610,2.4324324324324325,1,1,-3.132946491241455,8.887954711914062
A00,"Amar Opening: Paris Gambit, Gent Gambit",1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,Amar Opening,Paris Gambit,rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq - 0 6,#a21610,2.4324324324324325,1,1,-2.375338554382324,5.898803234100342
A00,Amsterdam Attack,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6,Amsterdam Attack,Root,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq - 1 5,#db3a24,7.297297297297297,1,1,2.5951437950134277,4.72948694229126
A00,Anderssen's Opening,1. a3,Anderssen's Opening,Root,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,#ee9786,9.72972972972973,1,1,-2.9219820499420166,8.937694549560547
A00,Anderssen's Opening: Polish Gambit,1. a3 a5 2. b4,Anderssen's Opening,Polish Gambit,rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq - 0 2,#a22810,9.72972972972973,1,1,-3.746760129928589,6.144301891326904
A00,Barnes Opening,1. f3,Barnes Opening,Root,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,#dd8866,17.027027027027028,1,1,-2.6712541580200195,9.05224895477295
A00,Barnes Opening: Fool's Mate,1. f3 e5 2. g4 Qh4#,Barnes Opening,Fool's Mate,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq - 1 3,#a23a10,17.027027027027028,1,1,-2.8035683631896973,8.99671745300293
A00,Barnes Opening: Gedult Gambit,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,Barnes Opening,Gedult Gambit,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq - 0 4,#c84c1b,17.027027027027028,1,1,-3.0149357318878174,5.086681365966797
A00,Barnes Opening: Gedult Gambit,1. f3 f5 2. e4 fxe4 3. Nc3,Barnes Opening,Gedult Gambit,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq - 1 3,#c84c1b,17.027027027027028,1,1,-3.7146518230438232,7.641242980957031
